iter	Passed	Remaining
1614	75772	158816
1615	75822	158776
1616	75869	158730
1617	75912	158675
1618	75957	158623
1619	76003	158575
1620	76052	158531
1621	76096	158480
1622	76140	158425
1623	76182	158370
1624	76227	158317
1625	76269	158261
1626	76314	158210
1627	76360	158161
1628	76405	158111
1629	76449	158057
1630	76496	158011
1631	76541	157961
1632	76585	157908
1633	76632	157861
1634	76679	157814
1635	76727	157770
1636	76775	157724
1637	76823	157681
1638	76869	157632
1639	76918	157589
1640	76965	157541
1641	77010	157492
1642	77059	157448
1643	77105	157401
1644	77153	157355
1645	77200	157308
1646	77245	157257
1647	77289	157205
1648	77335	157157
1649	77383	157111
1650	77428	157060
1651	77472	157007
1652	77515	156952
1653	77558	156899
1654	77603	156847
1655	77646	156792
1656	77688	156736
1657	77734	156688
1658	77783	156644
1659	77830	156599
1660	77880	156558
1661	77925	156506
1662	77971	156459
1663	78018	156412
